EventType,Corresponding Frame(s),FrameNetDefinitions,Generic_Definition,Cumulativity,Homeomericity,TemporalExtent,Agentivity
Preventing or letting,"Avoiding, Preventing, Prevent from having, Preventing or letting","[Avoiding] An Agent avoids an Undesirable_situation under certain Circumstances. That situation may be an activity (e.g. going to school), or an entity (perhaps) metonymic for such an activity or situation (e.g. the curb).  In this frame, the situation is undesirable from the Agent's point of view (e.g. evade), and contrasts with scenes in which the situation is specifically undesirable to someone else (e.g. forbear) or from the point of view of an external morality (e.g. abstain).  'Mike avoided his supervisor at all costs.'
[Preventing_or_letting] A Potential_hindrance or an Agent (via their actions) keeps an Event from taking place, or despite the possibility of prevent the Event, do not do so. Lexical units which indicate that the event is not prevented, e.g. allow.v, are marked with the semantic type ""Negative"".  Some lexical units, like avert and avoid indicate that the Potential_hindrance or Agent would have been affected if the Event occurred.   ' Rain prevented the ball game from taking place.'   ' He could have stopped the riot .'  ' The government narrowly averted a coup . ' 'She allowed more than a few mistakes to happen .' 'Technology has permitted firms to link together more closely.' 'Unlike DOS , Windows lets you get on with something else when sending a fax.' 'Liberalization allows easier entry into particular markets .' 'Mesh allows the water to circulate normally through the aquarium.'  ''  Unlike in the Thwarting frame, the Potential_hindrance or Agent does not directly prevent the actions of an individual, but rather affects the world in such a way that an Event cannot occur.","An agent or condition influences whether an undesirable event or situation occurs, either by actively preventing it or by allowing it to happen.",anti-cumulative,anti-homeomeric,durative,non-agentive
Bearing arms,Bearing arms,"[Bearing_arms] A Protagonist has (or does not have) a Weapon.  The Degree to which the Protagonist is armed may also be described.  The Protagonist is normally a human but may be a device that has subsidiary weapons.  'Apparently, the suspect is armed with a shotgun.' 'After she pulled the .45 from her sock drawer, she felt well enough armed to face anyone coming in.' 'The Tomahawk missile packs a lot of heat .'  'An individual with a right-to-carry license may continue to carry in a ""school zone"" in compliance with existing state and local laws. INI'","An event or state where a Protagonist possesses or is equipped with a Weapon, with the extent of their armament potentially being specified.",cumulative,homeomeric,durative,non-agentive
Becoming,Becoming,"[Becoming] An Entity ends up with some Final_quality--a new fact about the Entity. Alternatively, based on a cluster of changes of characteristics, the Entitynewly meets the conditions for being a member of a Final_category.  'The weather turned cold .' 'You can become a firefighter today !'  This frame should be compared with the Transition_to_state frame, which is more general in allowing arbitrary descriptions of a final situation:  'We ended up telling him to leave .'  There is no way to effectively paraphrase such a sentence in the Becoming frame.  ","An event where an Entity acquires a new quality, characteristic, or category membership, resulting in a change of its state or classification.",anti-cumulative,anti-homeomeric,atomic,non-agentive
Becoming a member,Becoming a member,[Becoming_a_member] A New_member becomes a member of a socially-constructed Group. 'Seven new members and the three countries joined the alliance five years ago.' 'Most new students enroll in a university without declaring a major.' 'It represents every man and woman who has enlisted in the armed forces to protect our families and serve the community.',An event where an individual or entity enters into membership within a socially-defined Group.,anti-cumulative,homeomeric,atomic,agentive
Know,Becoming aware,"[Becoming_aware] Words in this frame have to do with a Cognizer adding some Phenomenon to their model of the world. They are similar to Coming-to-believe words, except the latter generally involve reasoning from Evidence.  '' The words in this frame take direct objects that denote entities in the world, and indicate awareness of those entities, without necessarily giving any information about the content of the Cognizer's belief or knowledge. These words also resemble perception words, since creatures often become aware of things by perceiving them.  'Later that night, they found the barely-alive victim inside the Red Hall estate flat.'  'Almost immediately, the police discovered the wrought-iron crypt gate swinging open.'  'In the bag on the tableI could vaguelydiscern two bottles of wine and several cartons of cakes and other goodies.'  'People passing through recognize it from afar, by the clouds of coal dust darkening the air.'   General Grammatical Observations: Passive forms of the verbs in this frame can occur with extraposed clauses expressing Phenomenon: 'That year it was discovered that consumers preferred the older model.' 'It is not always recognized how much work goes into a dinner party.'","A cognizer perceives or notices a phenomenon, thereby incorporating it into their understanding of the world, without necessarily reasoning from evidence.",anti-cumulative,homeomeric,atomic,non-agentive
Being in operation,"Being in operation, Being operational","[Being_in_operation] A Device or machine is in (or out of) service. Note that being broken or functional is a separate issue from being turned on or off. This latter notion is what the present frame is concerned with. <br /> The Time when and the Place where the Device is in use may be specified, as may be the Purpose a backgrounded human User had in turning the Device on or off.    'The TV is on' 'The lights were off when I came by.'  
[Being_operational] An Object with an understood function is or is not in a state ready to perform that function.  'The remote is almost broken.'  'Hand me that broken watch so I can throw it away.'","An event or state where a Device or Object is functioning, turned on, or prepared to perform its intended role.",cumulative,homeomeric,durative,non-agentive
Control,"Being in control, Domination, Control, Self control","[Being_in_control] A Controlling_entity has control of a Dependent_entity, Dependent_situation, or Dependent_variable.   'She was in control of the empire within two days.'  This frame is distinct from Control in that the Controlling_entity is not fully asserted to be currently controlling the Dependent_entity, Dependent_situation, or Dependent_variable, but rather is attentive to it and capable of making the situation correspond to the desired state at any time.
[Domination] An Agent has a influential, controlling position in a Situation, and is the primary causal factor in the development of the Situation, leaving other Competitors unable to take controlling positions.  Two perspectives are taken on this frame, one where the Agent is viewed as controlling primarily the Situation, and another where the Agent is viewed as primarily influencing the other Competitors in the Situation.
[Control] A Controlling_entity, Controlling_situation, or Controlling_variable control a Dependent_entity, Dependent_situation, or Dependent_variable. The latter, dependent, element or some aspect of it is not just influenced, but determined by the controlling element.  'Can you control the robot?' 'Although you may not be able to control every situation, you can control your reaction.' 'Students do not have control over the temperature of the heating water.' 'Everyone knows that the price of oil controls the price of asphalt.'
[Self_control] An Agent actively (yet not always with success) attempts to keep themselves from participating in an Event. The Agent is usually pushed to the Event because of an internal urge. '' 'He couldn't help but peek.'","An event where an Agent or Controlling Entity exerts, attempts, or maintains influence over a Dependent Entity, Situation, Variable, or themselves, either by directing its state, limiting its change, or preventing undesired outcomes.",anti-cumulative,anti-homeomeric,durative,agentive
Breathing,Breathing,"[Breathing] An Agent causes Air to move in a direction, usually specifying either in or out of the body.  'Lee breathed the hot desert air.'","An event where an Agent moves air into or out of their body, typically as part of a natural physiological process.",cumulative,homeomeric,durative,non-agentive
Besieging,Besieging,"[Besieging] An Assailant, a group of armed forces, surrounds the Victim, a military location and the people within it, in an attempt to cut the Victim off from the outside, with the goal of either forcing their surrender or weakening them so that an invasion would be successful. A successful siege is often followed by the Assailant taking control of (the land held by) the Victim.  'Towards the end of the summer, a great English host besieged the Danish fort of Tempsford and took it, killing the last Danish king of East Anglia.'","An event where an Assailant surrounds and isolates a Victim, typically a fortified location, with the strategic goal of forcing surrender, weakening resistance, or preparing for invasion.",anti-cumulative,anti-homeomeric,durative,agentive
Carry goods,Carry goods,"[Carry_goods] A Distributor sells, lends, or otherwise distributes a class of Goods. In the prototypical case, the Distributor is a retailer who generally keeps some type of Goods on site for the purpose of selling it to a buyer. Extensions include lending Goods (e.g., libraries, movie rental outlets), organization-internal distribution (as in a hospital), or other non-commercial distribution centers. The Goods are constrained to be a type of item (e.g., canned goods, antique dressers) rather than a particular or unique item (e.g., Smith's last self-portrait, that guitar I saw here last week). Note that a Distributor may carry some particular goods, but may not have it on hand at that exact moment.  'Trader Joe's carries a wide variety of foods, drinks, and househole necessities.'","An event or state where a Distributor provides, offers, or makes available a type or class of Goods for distribution, sale, or lending, typically maintaining the capacity to supply those Goods.",cumulative,homeomeric,durative,agentive
Bringing,Bringing,"[Bringing] This frame concerns the movement of a Theme and an Agent and/or Carrier.   The Agent, a person or other sentient entity, controls the shared Path by moving the Theme during the motion. In other words, the Agent has overall motion in directing the motion of the Theme.  The Carrier may be a separate entity, or it may be the Agent's body. The Constant_location may be a subregion of the Agent's body or (a subregion of) a vehicle that the Agent uses.  'Karl carried the books across campus to the library on his head.' 'Karl carried the books across campus to the library in his truck.' 'Karl carried the books across campus to the library by truck.' 'The truck carried the books across campus to the library in specially designed boxes.' The  FEs include Path, Goal, and Source.  Area is an area that contains the motion when the path is understood as irregular.   This frame emphasizes the path of movement as opposed to the FEs Source or Goal as in Filling or Placing. ","An event where an Agent or Carrier moves a Theme along a Path toward a Goal, controlling the movement during the process.",anti-cumulative,anti-homeomeric,durative,agentive
Building,Building,"[Building] This frame describes assembly or construction actions, where an Agent joins Components together to form a Created_entity, which is profiled, and hence the object of the verb.  'Jack built a new house out of bricks.' 'We glued the airplanes together.'",An event where an Agent assembles or constructs a new unified Entity by joining together multiple Components.,anti-cumulative,anti-homeomeric,durative,agentive
Cause change of position on a scale,Cause change of position on a scale,"[Cause_change_of_position_on_a_scale] This frame consists of words that indicate that an Agent or a Cause affects the position of an Item on some scale (the Attribute) to change it from an initial value (Value_1) to an end value (Value_2). The direction of the change (Path) can be encoded as well as the magnitude of the change (Difference). The rate of change of the value (Speed) can optionally be indicated as well as a second scale (Co_Variable), which the values are correlated with.  '' 'The company is raising the final dividend from 4.34p to 4.57p, to boost the total by 5.3 percent to 6.36p.'  'Similarly, a consumer boom will encourage the authorities to increase interest rates in order to keep money supply on target.'  'United Way of Central Indiana adds value to your investment.'","An event where an Agent or a Cause alters the position of an Item along a measurable scale, changing it from one value to another.",cumulative,anti-homeomeric,durative,non-agentive
Cause change of strength,Cause change of strength,"[Cause_change_of_strength] An Agent causes a Patient to be more strong, often resulting in something that is more secure and safe.  'Local Serbs are strengthening their grip on a narrow corridor along the Sava River between two large Serbian areas.'","An event where an Agent causes a Patient to become stronger, more secure, or more resilient than before.",cumulative,anti-homeomeric,durative,agentive
Employment,Being employed,"[Being employed] An Employee has a Position doing work in a particular Field, or doing work on a particular Task, for which an Employer gives Compensation to the Employee. Undocumented foreigners are working as building contractors for Laing Builders.",An event or state where an Employee holds a Position and performs work in exchange for Compensation provided by an Employer.,cumulative,homeomeric,durative,agentive
Change,"Cause change, Cause change of phase","[Cause_change] An Agent or Cause causes an Entity to change, either in its category membership or in terms of the value of an Attribute. In the former case, an Initial_category and a Final_category may be expressed, in the latter case an Initial_value and a Final_value can be specified.  'Our storylines follows the saga outlined by the Ultima Series, but we have modified it in order to make our writing more cohesive.'   'I don't think you can turn that rabbit into a hat.'  'How can a guy that changed his name from Bob Craft to Jack Ass declare anyone defamed his character?'  ' At this juncture, a new development changed the political situation on the island.'  'She had at some time earlier completely changed her clothing and appearance and now stood in front of me dressed like a garden gnome.'  'Hence, when (Hg 0 ) is converted to Hg 2+ , it can be rapidly taken up in rain water, snow, or adsorbed onto small particles' 'Hence, when (Hg 0 ) is converted to Hg 2+ , it can be rapidly taken up in rain water, snow, or adsorbed onto small particles'
[Cause_change_of_phase] A Cause or Agent causes a Patient to undergo a change of phase.  The Result of the change may be given, along with the Initial_state and the Circumstances under which the change can occur.  Note that this frame contrasts with Cause_change_of_consistency in that this frame describes causation of a change of a Patient between different phases (i.e. solid to liquid or frozen to ""unfrozen"").  ' Bob melted the butter. '   'Sally defrosted the chicken to eat for dinner. '  ","An event where an Agent or Cause induces a fundamental change in an Entity — either altering its attributes, category, or physical phase.",cumulative,anti-homeomeric,durative,non-agentive
Expansion,Cause expansion,"[Cause_expansion] An  Agent or non-human Cause causes an Item to change its physical size.  The Size_change of an Item may be explicitly indicated or characterized in terms of Initial_size and/or Result_size.  In the default case, expansion is along all dimensions, but sometimes the Dimension of expansion is incorporated or made explicit.  'If the design crashes too often, then try lengthening the wings by a few centimeters, to perhaps 30cm total.  CNI INI '   'As the juice churned with natural process of changing into wine, the gas it created would expand the balloon, and when the balloon eventually deflated, it was ready to drink.'","An event where an Agent or non-human Cause induces a change in the physical size or dimensions of an Item, either overall or along specific directions.",cumulative,anti-homeomeric,durative,non-agentive
Bodily harm,"Cause harm, Experience bodily harm","[Cause_harm] The words in this frame describe situations in which an Agent or a Cause injures a Victim. The Body_part of the Victim which is most directly affected may also be mentioned in the place of the Victim.  In such cases, the Victim is often indicated as a genitive modifier of the Body_part, in which case the Victim FE is indicated on a second FE layer. '' 'Rod saw his father beating his mother.'  'In the end Wormtongue is fed up with being beaten so he cuts Saruman's throat to free himself.'  'A mother stabbed to death by her husband made a secret will stating that he must never be allowed to care for their son.'
[Experience_bodily_harm] An Experiencer is involved in a bodily injury to a Body_part.  (In some cases, no Body_part need be indicated.)  Often an Injuring_entity on which the Experiencer injures themselves is mentioned. 'I think that I hurt myself pretty bad back there.' 'He smacked his head on the mantel getting up from poking at the fire.'","An event where a bodily injury occurs to a person, either caused intentionally or accidentally, affecting the whole person or a specific body part.",anti-cumulative,anti-homeomeric,durative,non-agentive
Cause to amalgamate,Cause to amalgamate,"[Cause_to_amalgamate] These words refer to an Agent joining Parts to form a Whole.  (The Parts may also be encoded as Part_1 and Part_2.)  There is a symmetrical relationship between the components that undergo the process, and afterwards the Parts are consumed and are no longer distinct entities that are easily discernable or separable in the Whole.  'Chuck merged the corpora.'' Chuck merged the corpora into a database.' 'Chuck merged the BNC with the AP Corpus into a database.' 'The two forces merged into a single, undifferentiated mass of murderous mayhem.(Sense 2)' 'Melt the butter, then blend it with the room temperature milk. CNI'  ","An event where an Agent causes multiple Parts to be combined into a single Whole, such that the original parts lose their distinct separateness in the resulting entity.",cumulative,anti-homeomeric,durative,agentive
Cause to be included,Cause to be included,[Cause_to_be_included] An Agent or Cause makes a New_member part of  Group. The Group may be represented by an individual Existing_member if it implies the existence of a set of members.  'I added a new rock to my collection.' 'He decided he needed to add a red tie to the blue tie in his closet.',"An event where an Agent or Cause brings a New_member into an existing Group, making it part of that collective.",anti-cumulative,homeomeric,atomic,agentive
Change sentiment,Cause to experience,[Cause_to_experience] An Agent intentionally seeks to bring about an internal mental or emotional state in the Experiencer.  This frame in closely related to  Experiencer_obj.  ' Samantha terrorized the children into screaming. ',An event where an Agent intentionally causes an Experiencer to feel or undergo a specific internal mental or emotional state.,anti-cumulative,anti-homeomeric,durative,agentive
Cause to make progress,Cause to make progress,[Cause_to_make_progress] An Agent works on a Project so that it reaches a more advanced and desirable state.  'I improve FrameNet.',An event where an Agent acts to advance a Project or Entity toward a more developed or improved state.,cumulative,anti-homeomeric,durative,agentive
Change of leadership,Change of leadership,"[Change_of_leadership] This frame concerns the appointment of a New_leader or removal from office of an Old_leader.  The Selector brings about the change in leadership, for example, by electing or overthrowing a leader. Some words in the frame describe the successful removal from office of a leader (e.g. depose, oust), .   'On March 17 , Mamedov appointed Rakhim Gasiyev as Defence Minister .'    ","An event where a Selector initiates the appointment of a New Leader or the removal of an Old Leader, resulting in a change in who holds a leadership position.",anti-cumulative,homeomeric,atomic,agentive
Change tool,Change tool,"[Change_tool] An Agent changes Tools, from the Old_tool to a New_tool.  The Tools may include vehicles, services providers, or more proto-typical implements.  'If this happens one more time, we 're going to switch operating systems.'  'Stephen had to transfer five times by the time he got to Lincolnville. DNI.'","An event where an Agent replaces one Tool, resource, or implement (the Old_tool) with a different one (the New_tool) for accomplishing a task or function.",anti-cumulative,homeomeric,atomic,agentive
Communication,"Chatting, Talking into, Communication response, Encoding, Contacting, Discussion, Successfully communicate message, Communication","[Chatting] A group of people (the Interlocutors or Interlocutor_1 and Interlocutor_2 together) have a conversation.  No person is construed as only a speaker or only an addressee. Rather, it is understood that both (or all) participants do some speaking and some listening--the process is understood to be symmetrical or reciprocal.  In this frame, the purpose of the conversation is generally social, rather than specifically to decide something or exchange information, or to quarrel (see Discussion and Quarreling).  'If you ain't got nothin' better to do, I 'd like to shoot the breeze with you for a couple.' 'We used to chat about everything.'
[Talking_into] A Speaker expresses through language his wish to get the Addressee to act.  The Addressee forms an intention to act and does so. '' 'You think I talked Peter into giving me those earrings, don't you?'  'Don't let a shop assistant talk you into buying a so-called ""orthopaedic"" bed -- there's no such thing.'
[Communication_response] This frame deals with a Speaker communicating a reply or response, a Message, to some prior communication or action, the Trigger.  '' 'The landlord has not yet replied in writing to the tenant objecting the proposed alterations.DNI'  '""No, I do not agree with you,"" responded another officer to the CEO. DNI'
[Encoding] A person (Speaker) expresses a Message or mental content, broadly understood, in a particular Manner. The content may be emotional, as in 'Humans express  feelings through words' intellectual, as in 'Formulate the idea carefully'  or linguistic, as in 'Phrase your question as a comment.'    
[Contacting] A Communicator (whose Location may be indicated) directs a Communication to an Addressee at a particular Address.  Note that no actual successful communicative act is implied, only the successful completion of acts which would establish the communication.  (In other words, Mari can e-mail Jon without Jon ever reading it.) NB:  The Address or Location_of_communicator may be a virtual address, such as an e-mail or telephone number.'Disgruntled voters phoned Congressman Neil at his Washington residence with complaints about the recent increases in corporate welfare.''She tried to call from the payphone down the street.' 
[Discussion] Two (or more) people (the Interlocutors, also encodable as Interlocutor_1 and Interlocutor_2) talk to one another. No person is construed as only a speaker or only an addressee. Rather, it is understood that both (or all) participants do some speaking and some listening--the process is understood to be symmetrical or reciprocal.  This frame differs from the Chatting frame in that the Interlocutors have a particular question that they are attempting to decide or understand.  'I would rather discuss politics with anyone but him.'   'World leaders met to discuss global warming on the coldest day of the year.'
[Successfully_communicate_message] A Communicator speaks to an Addressee in such a way that the Addressee understands and fully appreciates the truth and/or relevance of the Message.   ' Marred by overblown writing , this first novel by Wilbur Smith 's wife effectively conveys some of South Africa 's problems .INI'  'He conveys vividly the absurdity of a situation , but he is incurious about the underlying processes which shape it. INI'  'We've got to get the message through to them before they become sexually active.'  'Have you been using PowerPoint (PPT) for years and feel you don't always get your point across to the audience?'  'It 's impossible to convey how lost I felt. CNI  INI'  'But , alas , the printed word can not adequately convey the panting , gasping misery of this particular torment. INI'
[Communication] A Communicator conveys a Message to an Addressee; the Topic and Medium of the communication also may be expressed.  This frame includes no specification of the method of communication (speech, writing, gesture, etc.).  This frame and the frames that inherit the general Communication frame can add elaboration to the Medium in a variety of ways (in French, on the radio program, in a letter) or to the Manner of communication (babble, rant, shout, whisper). There are also frames related to Communication that either do not inherit all of the FEs of this frame or do not inherit them in a straightforward manner (such as Conversation, in which Communicator and Addressee alternate roles, and are often expressed by a single, plural NP).  'Let's hope it did n't have time to communicate any of its findings to its overlords.'  NB:  For many words in this domain (those which do not inherently ascribe cognitive/social processes to a Communicator, position a statement within a conversation, or specify Medium in detail), there is a metaphorical usage which maps Communication onto an alternate POV of Becoming_aware, with corresponding maps for frames related to Communication.  This metaphor is most felicitous with Means or Medium subjects, which are mapped onto the Evidence FE of Becoming_aware.  In many cases this metaphor maps Communication onto the Evidence frame, but not always.  Some words from the Communication domain are listed in the Evidence frame since they are deemed to be lexicalized.  'A flick of his gaze toward the doorway told me what he really wanted. (METAPHOR)' 'This painting really speaks to me. INI (MET) ' 'Putting his arm around her protectively achieved nothing but announcing to their captors their vulnerability. (MET)' 'It says a lot that he did n't come back. INI (MET) '","An event where one or more parties convey, exchange, or respond to information, emotions, intentions, or requests, typically through language or symbolic means, either interactively or unidirectionally.",cumulative,anti-homeomeric,durative,agentive
Presence,"Circumscribed existence, Presence, Existence","[Circumscribed_existence] An Entity is understood to be experienceable within a particular set of delimited Circumstances, which may be more narrowly expressed by a Time, Place.  'This type of behavior occurs in several primate mating rituals.' 'Craft beers have started to appear in grocery stores all over the country.'
[Presence] An Entity exists at a particular Location, at a particular Time, as observed by an implicit observer. A Depictive and/or Duration phrase is often found.  This frame differs from Existence in that the Location is profiled as a ground where an observer is conceived of as confirming the Entity's existence.  'Liquid water was present on the surface of Mars billions of years ago.'  'Urate was present in varying concentrations in the bathing solution only.'  'No one was present. DNI'  'Your presence is appreciated. DNI'  In some cases, the Location may be recoverable from phrases that primarily express peripheral information:  'Was the senator present for the committee vote?' 'Was the senator present for the committee vote?'
[Existence] An Entity is declared to exist, generally irrespective of its position or even the possibility of its position being specified. Time, Duration, Inherent_purpose, and State may also be mentioned.  This frame is to be contrasted with Presence, which describes the existence of an Entity in a particular (and salient) spacio-temporal context, and which also entails the presence of an observer who can detect the existence of the Entity in that context.  'Finally, Poland ceased to exist as a state for hundreds of years.' 'Such laws exist to prevent exactly this kind of fraud.' 'There IS a Santa Claus!'","An event or state in which an Entity is understood to exist, either absolutely or within specific temporal, spatial, or situational boundaries, and may optionally be confirmed by an observer.",cumulative,homeomeric,durative,non-agentive
Collaboration,Collaboration,[Collaboration] Partner_1 and Partner_2 or a group of Partners  work together in some Undertaking. The Partners are taken to be of equal status even when expressed disjointly.   ' CSTR actively collaborates with the Departments of Artificial Intelligence  and Physics. ' ' Tom and  the American composer Steve Riche have recently collaborated on a piece of elevator music.',An event where two or more entities work together jointly and cooperatively toward a shared goal or task.,cumulative,anti-homeomeric,durative,agentive
Coming to be,Coming to be,"[Coming_to_be] An Entity comes into existence at a particular Place and Time which may take a certain Duration_of_endstate, have a Cause, or be formed from Components.  'Problems may arise whenever an S1 sophont enters the game.' 'Mountains sometimes form in as little as a million years.' 'A new paradigm emerged from the discussion of nuclear weapons.' 'New Plants form from the cut veins in two weeks.'","An event where an Entity comes into existence, typically associated with a particular Place, Time, Cause, or originating Components.",anti-cumulative,homeomeric,atomic,non-agentive
Coming to believe,Coming to believe,"[Coming_to_believe] A person (the Cognizer) comes to believe something (the Content), sometimes after a process of reasoning. This change in belief is usually initiated by a person or piece of Evidence. Occasionally words in this domain are accompanied by phrases expressing Topic, i.e. that which the mental Content is about.   'Based on the most recent census I have concluded that most Americans sleep too much.'     ","An event where a Cognizer forms a new belief about some Content, often based on reasoning or evidence.",anti-cumulative,homeomeric,atomic,agentive
