EventType,Generic_Definition,Cumulativity,Homeomericity,TemporalExtent,Agentivity,CumulativityJustification,HomeomericityJustification,TemporalExtentJustification,AgentivityJustification
Know,"A cognizer perceives or notices a phenomenon, thereby incorporating it into their understanding of the world, without necessarily reasoning from evidence.",anti-cumulative,anti-homeomeric,atomic,non-agentive,"The event is labeled 'anti-cumulative' because multiple instances of perception or noticing cannot be aggregated into a larger whole that is still considered the same type of perception or noticing event, as each perception is unique and distinct.","The event is labeled 'anti-homeomeric' because the process of perceiving or noticing a phenomenon involves different stages such as initial observation, processing, and understanding, which are distinct subactivities and not all instances of the same type.",The event is labeled 'atomic' because the act of perceiving or noticing a phenomenon is an instantaneous occurrence that does not extend over time or involve distinct stages.,"The event is labeled 'non-agentive' because while the cognizer intentionally perceives or notices a phenomenon, the act of incorporating it into their understanding of the world can occur naturally without a specific goal-directed initiation."
Being in operation,"An event or state where a Device or Object is functioning, turned on, or prepared to perform its intended role.",cumulative,homeomeric,durative,non-agentive,"The event is labeled 'cumulative' because multiple instances of a device or object functioning, being turned on, or prepared to perform its intended role can be aggregated into a larger whole that is still considered the same type of event.","The event is labeled 'homeomeric' because every temporal part of the event, where a Device or Object is functioning or turned on, is consistently an instance of the same event type, reflecting uniformity across all temporal intervals.","The event is labeled 'durative' because the functioning or operation of a device or object extends over a period of time and can be divided into different stages such as initiation, operation, and termination.","The event is labeled 'non-agentive' because while the device or object may be functioning or turned on, which could be the result of intentional action, it does not necessarily imply a goal-directed initiation by an agent, and the functioning could also occur naturally or automatically."
Control,"An event where an Agent or Controlling Entity exerts, attempts, or maintains influence over a Dependent Entity, Situation, Variable, or themselves, either by directing its state, limiting its change, or preventing undesired outcomes.",cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of an agent exerting influence can be combined into a larger event of the same type, as the overall exertion of influence is preserved.","The event is labeled 'anti-homeomeric' because the exertion, maintenance, or attempt of influence over a dependent entity can involve diverse subactivities or stages, which may not all be instances of the same type of event.","The event is labeled 'durative' because the exertion, maintenance, or attempt of influence over a dependent entity or situation implies a process that unfolds over time with potential for distinct phases or stages.","The event is labeled 'agentive' because it involves an Agent or Controlling Entity intentionally exerting, attempting, or maintaining influence over a Dependent Entity, Situation, Variable, or themselves, indicating a clear goal or purpose."
Breathing,"An event where an Agent moves air into or out of their body, typically as part of a natural physiological process.",cumulative,homeomeric,durative,non-agentive,"The event is labeled 'cumulative' because multiple instances of an agent moving air into or out of their body, such as multiple breaths, can be aggregated into a larger whole, like a period of breathing, which is still an instance of the same type of event.","The event is labeled 'homeomeric' because every temporal part of the process, from the beginning to the end, involves the same type of activity - moving air into or out of the body.","The event is labeled 'durative' because the process of moving air into or out of the body, such as breathing, unfolds over time and can be divided into distinct stages like inhalation and exhalation.","The event is labeled 'non-agentive' because while it involves intentional action (breathing), it is a natural physiological process that does not require goal-directed initiation."
Besieging,"An event where an Assailant surrounds and isolates a Victim, typically a fortified location, with the strategic goal of forcing surrender, weakening resistance, or preparing for invasion.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of surrounding and isolating a victim cannot be combined into a larger instance of the same event type, as each occurrence is distinct and specific to the individual victim and situation.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as surrounding, isolating, and preparing for invasion, which are not all instances of the same type of event.","The event is labeled 'durative' because it involves a process that unfolds over time, including stages such as surrounding, isolating, and weakening resistance, rather than being an instantaneous occurrence.","The event is labeled 'agentive' because it involves an intentional, strategic action initiated by an assailant with a specific goal of forcing surrender, weakening resistance, or preparing for invasion."
Carry goods,"An event or state where a Distributor provides, offers, or makes available a type or class of Goods for distribution, sale, or lending, typically maintaining the capacity to supply those Goods.",cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of a Distributor providing, offering, or making available a type or class of Goods can be aggregated into a larger whole that is still an instance of the same event type, such as a continuous supply of goods.","The event is labeled 'anti-homeomeric' because it involves multiple distinct subactivities such as providing, offering, or making available goods, each of which may not be an instance of the same type of event.","The event is labeled 'durative' because it involves a process that unfolds over time, including stages such as the distributor providing, offering, or making available goods, and maintaining the capacity to supply those goods.","The event is labeled 'agentive' because it involves a Distributor intentionally initiating the action of providing, offering, or making available goods for distribution, sale, or lending, which indicates a clear purpose or goal."
Bringing,"An event where an Agent or Carrier moves a Theme along a Path toward a Goal, controlling the movement during the process.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of the event, such as moving an object from one place to another, cannot be combined into a larger instance of the same event type, as each movement is distinct and non-overlapping.","The event is labeled 'anti-homeomeric' because it involves multiple distinct subactivities such as the initiation of movement, the actual movement along a path, and the arrival at a goal, which are not all instances of the same type.","The event is labeled 'durative' because it describes a process that unfolds over time, involving movement along a path and control of that movement, which can be segmented into distinct phases such as initiation, execution, and completion.","The event is labeled 'agentive' because it involves an Agent or Carrier intentionally initiating and controlling the movement of a Theme along a Path toward a Goal, indicating a clear purpose or goal."
Building,An event where an Agent assembles or constructs a new unified Entity by joining together multiple Components.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because once the Agent has assembled the new Entity, combining additional Components does not result in another instance of the same assembly event, but rather a modification or expansion of the existing Entity.","The event is labeled 'anti-homeomeric' because the process of assembling or constructing a new entity involves distinct subactivities, such as gathering components, joining them together, and finalizing the construction, which are not all instances of the same type.",The event is labeled 'durative' because the process of assembling or constructing a new entity from multiple components inherently involves multiple stages and extends over a period of time.,"The event is labeled 'agentive' because it involves an agent intentionally initiating the process of assembling or constructing a new entity, which indicates a clear goal or purpose."
Cause change of position on a scale,"An event where an Agent or a Cause alters the position of an Item along a measurable scale, changing it from one value to another.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the aggregation of multiple instances of position alterations does not result in a larger instance of the same event type, as each change in position is a distinct, non-overlapping occurrence.","The event is labeled 'anti-homeomeric' because the process of altering the position of an item along a measurable scale involves distinct subactivities (like initiating the change, the actual movement, and the final positioning), which are not all instances of the same type.","The event is labeled 'durative' because it involves a process of change that unfolds over time, from one position on a scale to another, indicating that it has distinct phases or stages.","The event is labeled 'agentive' because it involves an Agent or Cause intentionally initiating an action to alter the position of an Item along a measurable scale, indicating a clear goal or purpose."
Cause change of strength,"An event where an Agent causes a Patient to become stronger, more secure, or more resilient than before.",cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of an agent causing a patient to become stronger, more secure, or more resilient can be aggregated into a larger whole, which still qualifies as an instance of the same event type, as the overall strength, security, or resilience of the patient increases cumulatively.","The event is labeled 'anti-homeomeric' because it involves a process of change and improvement, which means it contains distinct subactivities or stages (like identifying weaknesses, implementing changes, and seeing improvement), not all of which are instances of the same type.","The event is labeled 'durative' because the process of an Agent causing a Patient to become stronger, more secure, or more resilient is a progressive action that unfolds over time and can be divided into different stages or phases.","The event is labeled 'agentive' because it involves an Agent intentionally initiating an action with the specific goal of making the Patient stronger, more secure, or more resilient."
Employment,An event or state where an Employee holds a Position and performs work in exchange for Compensation provided by an Employer.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because combining two instances of an employee holding a position and performing work does not result in a larger instance of the same event, as each employment situation is unique and distinct.","The event is labeled 'anti-homeomeric' because it involves multiple distinct subactivities such as holding a position and performing work, which are not all instances of the same type of event.","The event is labeled 'durative' because it involves an ongoing process of an employee holding a position and performing work over a period of time, which can be divided into distinct stages such as starting the job, performing daily tasks, and receiving compensation.",The event is labeled 'agentive' because it involves the intentional action of an employee holding a position and performing work with the specific goal of receiving compensation from an employer.
Change,"An event where an Agent or Cause induces a fundamental change in an Entity  either altering its attributes, category, or physical phase.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because inducing a fundamental change in an entity is a distinct, non-repeatable action, and combining multiple instances of such changes does not result in another instance of the same type of change.","The event is labeled 'anti-homeomeric' because it involves a fundamental change in an entity, indicating that the event's temporal subparts are not all instances of the same type, as the entity's state changes over the course of the event.","The event is labeled 'durative' because the process of inducing a fundamental change in an entity, such as altering its attributes, category, or physical phase, involves a sequence of actions or stages that unfold over a period of time.","The event is labeled 'agentive' because it involves an agent or cause intentionally initiating a fundamental change in an entity, indicating a clear goal or purpose."
Expansion,"An event where an Agent or non-human Cause induces a change in the physical size or dimensions of an Item, either overall or along specific directions.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because inducing a change in the physical size or dimensions of an item multiple times does not aggregate into a larger instance of the same event, but rather results in distinct, separate events of size or dimension change.","The event is labeled 'anti-homeomeric' because the process of changing the physical size or dimensions of an item involves different subactivities, such as the initiation of the change and the actual change itself, which are not instances of the same type.","The event is labeled 'durative' because the process of inducing a change in the physical size or dimensions of an item involves a progression over time and can be segmented into distinct phases such as initiation, transformation, and completion.","The event is labeled 'agentive' because it involves an agent or non-human cause intentionally initiating a change in the physical size or dimensions of an item, indicating a clear goal or purpose."
Bodily harm,"An event where a bodily injury occurs to a person, either caused intentionally or accidentally, affecting the whole person or a specific body part.",anti-cumulative,anti-homeomeric,atomic,non-agentive,"The event is labeled 'anti-cumulative' because multiple instances of bodily injury cannot be aggregated into a larger whole that is still considered the same instance of injury, as each injury is distinct and affects different parts or aspects of the person.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the cause of the injury (intentional or accidental) and the effect of the injury (affecting the whole person or a specific body part), which are not instances of the same type.","The event is labeled 'atomic' because the occurrence of a bodily injury, whether intentional or accidental, is typically instantaneous and cannot be divided into distinct temporal stages.","The event is labeled 'non-agentive' because while it may involve intentional action (such as in the case of an assault), it can also occur accidentally (such as in the case of a fall), and does not always require a goal-directed initiation."
Cause to amalgamate,"An event where an Agent causes multiple Parts to be combined into a single Whole, such that the original parts lose their distinct separateness in the resulting entity.",cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because it involves the aggregation of multiple parts into a larger whole, which still qualifies as an instance of the same event type, thus preserving the type identity.","The event is labeled 'anti-homeomeric' because the process of combining multiple parts into a single whole involves distinct subactivities and stages, which are not all instances of the same type.","The event is labeled 'durative' because it involves a process that unfolds over time, where multiple parts are combined into a single whole, indicating distinct stages or phases.","The event is labeled 'agentive' because it involves an agent intentionally initiating the action of combining multiple parts into a single whole with a specific goal, which is the loss of distinct separateness in the resulting entity."
Cause to be included,"An event where an Agent or Cause brings a New_member into an existing Group, making it part of that collective.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because adding a new member to a group creates a new, distinct instance of the event, and combining these instances does not result in another instance of the same event type.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the presence of an Agent or Cause, the introduction of a New_member, and the integration of that member into an existing Group, which are not all instances of the same type.","The event is labeled 'durative' because the process of integrating a new member into an existing group unfolds over time and can be divided into distinct stages such as introduction, acceptance, and assimilation.",The event is labeled 'agentive' because it involves an intentional action initiated by an agent or cause with the specific goal of adding a new member to an existing group.
Change sentiment,An event where an Agent intentionally causes an Experiencer to feel or undergo a specific internal mental or emotional state.,anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because causing someone to experience a specific mental or emotional state at different times cannot be aggregated into a larger whole that is still the same instance of causing that specific state.,"The event is labeled 'anti-homeomeric' because it involves a process with distinct subactivities, such as the agent's action and the experiencer's emotional or mental response, which may not be instances of the same event type.","The event is labeled 'durative' because the process of causing someone to feel or undergo a specific internal mental or emotional state typically unfolds over time and can be segmented into distinct phases such as initiation, development, and culmination of the emotional or mental state.","The event is labeled 'agentive' because it involves an Agent intentionally causing an Experiencer to undergo a specific internal mental or emotional state, indicating a clear purpose or goal."
Cause to make progress,An event where an Agent acts to advance a Project or Entity toward a more developed or improved state.,cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of an agent acting to advance a project or entity can be combined into a larger whole that still represents the same type of event, namely, the advancement of the project or entity.",The event is labeled 'anti-homeomeric' because the process of advancing a Project or Entity toward a more developed or improved state involves various distinct subactivities that may not all be instances of the same type.,"The event is labeled 'durative' because it involves a process of advancement or improvement, which implies a progression over time with identifiable stages or phases.",The event is labeled 'agentive' because it involves an agent intentionally acting with a specific goal to advance a project or entity towards a more developed or improved state.
Change of leadership,"An event where a Selector initiates the appointment of a New Leader or the removal of an Old Leader, resulting in a change in who holds a leadership position.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the appointment or removal of a leader is a distinct occurrence and combining multiple instances of this event does not result in another instance of the same type, as each leadership change is unique and non-aggregable.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the initiation by the Selector, the appointment of a New Leader, or the removal of an Old Leader, each of which may not be classified as the same type of event.","The event is labeled 'durative' because it involves a process that unfolds over time, including the initiation of the appointment or removal, the actual change in leadership, and the resultant holding of the leadership position, which can be segmented into distinct stages.","The event is labeled 'agentive' because it involves a Selector intentionally initiating the process of appointing a New Leader or removing an Old Leader, which indicates a clear goal or purpose."
Change tool,"An event where an Agent replaces one Tool, resource, or implement (the Old_tool) with a different one (the New_tool) for accomplishing a task or function.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the act of replacing one tool with another is a distinct, singular event that cannot be aggregated with another similar event to form a larger instance of the same type.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities, such as the removal of the old tool and the introduction of the new tool, which are not instances of the same type.","The event is labeled 'durative' because it involves a process that unfolds over time, including the stages of identifying the need for a new tool, acquiring the new tool, and replacing the old tool with the new one.",The event is labeled 'agentive' because it involves an intentional action initiated by an agent (the replacement of one tool with another) with a specific goal or purpose (to accomplish a task or function).
Communication,"An event where one or more parties convey, exchange, or respond to information, emotions, intentions, or requests, typically through language or symbolic means, either interactively or unidirectionally.",cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of communication, such as conversations or exchanges of information, can be aggregated into a larger whole, like a discussion or a dialogue, which is still an instance of the same type of event.","The event is labeled 'anti-homeomeric' because it involves multiple distinct subactivities such as conveying, exchanging, or responding to information, emotions, intentions, or requests, which may not all be instances of the same type of event.","The event is labeled 'durative' because the process of conveying, exchanging, or responding to information, emotions, intentions, or requests involves a sequence of actions that unfold over time and can be divided into distinct stages.","The event is labeled 'agentive' because it involves intentional action by one or more parties to convey, exchange, or respond to information, emotions, intentions, or requests, indicating a clear purpose or goal."
Presence,"An event or state in which an Entity is understood to exist, either absolutely or within specific temporal, spatial, or situational boundaries, and may optionally be confirmed by an observer.",anti-cumulative,homeomeric,durative,anti-agentive,The event is labeled 'anti-cumulative' because the existence of an entity within specific boundaries cannot be aggregated with another similar instance without changing the unique conditions of each event.,"The event is labeled 'homeomeric' because every temporal part of the event is an instance of the same type, indicating uniformity across all temporal intervals.","The event is labeled 'durative' because it extends over a period of time, with the entity existing within specific temporal boundaries, and can potentially be broken down into different stages or phases.",The event is labeled 'anti-agentive' because it describes a state of existence that occurs naturally and is not initiated or influenced by any intentional action from an agent.
Collaboration,An event where two or more entities work together jointly and cooperatively toward a shared goal or task.,cumulative,anti-homeomeric,durative,agentive,The event is labeled 'cumulative' because the combined efforts of multiple entities working together toward a shared goal can be seen as a larger instance of the same type of cooperative event.,"The event is labeled 'anti-homeomeric' because it involves multiple entities performing potentially different tasks or subactivities, which may not all be instances of the same type, to achieve a shared goal.",The event is labeled 'durative' because the process of two or more entities working together jointly and cooperatively toward a shared goal or task inherently involves multiple stages and extends over a period of time.,"The event is labeled 'agentive' because it involves intentional actions initiated by multiple entities with a clear shared goal or task, indicating purposeful agency."
Coming to be,"An event where an Entity comes into existence, typically associated with a particular Place, Time, Cause, or originating Components.",anti-cumulative,anti-homeomeric,atomic,anti-agentive,"The event is labeled 'anti-cumulative' because the creation of multiple entities does not aggregate into a larger instance of the same event type, as each creation event is distinct and unique in its place, time, cause, or originating components.","The event is labeled 'anti-homeomeric' because the process of an entity coming into existence involves different stages or subactivities, such as formation, development, and actualization, which are not all instances of the same event type.","The event is labeled 'atomic' because it refers to a single, indivisible occurrence of an entity coming into existence, which is typically instantaneous and does not involve a progression of distinct stages.","The event is labeled 'anti-agentive' because it occurs due to natural processes or external causes, such as birth or formation of a natural entity, and does not involve any intentional action by an agent."
Coming to believe,"An event where a Cognizer forms a new belief about some Content, often based on reasoning or evidence.",anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because the formation of a new belief is a distinct cognitive process and combining multiple instances of belief formation does not result in another instance of the same type.,"The event is labeled 'anti-homeomeric' because the process of forming a new belief involves various distinct subactivities such as gathering information, processing it, and finally forming the belief, which are not all instances of the same type.","The event is labeled 'durative' because the process of forming a new belief involves several stages such as gathering information, reasoning, and internalizing the new belief, which unfold over a period of time.","The event is labeled 'agentive' because the formation of a new belief by a Cognizer is an intentional action driven by a specific goal or purpose, often based on reasoning or evidence."
Commerce pay,An event where a Buyer transfers Money to another party as compensation for receiving Goods or Services.,anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because each instance of a buyer transferring money to another party for goods or services is a distinct transaction and cannot be aggregated into a larger whole that is still considered the same type of event.,"The event is labeled 'anti-homeomeric' because it consists of distinct subactivities such as the transfer of money and the receipt of goods or services, which are not instances of the same type.","The event is labeled 'durative' because it involves multiple stages such as the decision to buy, the transfer of money, and the receipt of goods or services, which unfold over a period of time.",The event is labeled 'agentive' because it involves a buyer intentionally initiating the action of transferring money to another party with the specific goal of receiving goods or services.
Commerce sell,An event where a Seller transfers Goods to a Buyer in exchange for Money.,anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because each instance of a seller transferring goods to a buyer in exchange for money is a distinct transaction and cannot be aggregated into a larger whole that is still considered the same type of event.,"The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the seller transferring goods and the buyer providing money, which are not instances of the same type.","The event is labeled 'durative' because it involves multiple stages such as the agreement of sale, the transfer of goods, and the payment of money, all of which extend over a period of time.",The event is labeled 'agentive' because it involves a seller intentionally initiating the action of transferring goods to a buyer with the specific goal of receiving money in exchange.
